EmployeeID,Age,Gender,Education,Department,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,MonthlyIncome,JobLevel,NumCompaniesWorked,TrainingHoursLastYear,WorkLifeBalance,JobSatisfaction,RelationshipSatisfaction,EnvironmentSatisfaction,OverTime,BusinessTravel,Absences,TaskCompletionRate,PeerRatingScore,ManagerRatingScore,ProjectsCompleted,GoalAchievementPct,PerformanceScore,PerformanceRating
EMP0001,53,Female,Bachelor's,Support,Sr. Support,0,0,0,94535,4,8,12,3,3,1,2,Yes,Rarely,19,51.1,1.2,2.24,10,55.7,14.54,Needs Improvement
EMP0002,50,Female,Bachelor's,HR,HR Associate,15,1,3,111570,1,3,41,1,1,2,1,No,No Travel,2,80.4,2.52,1.7,17,92.1,49.8,Below Expectations
EMP0003,24,Male,High School,Finance,Senior Analyst,23,7,4,146315,4,3,14,3,1,1,1,Yes,No Travel,9,98.1,1.7,3.48,1,41.8,30.45,Needs Improvement
EMP0004,55,Female,Master's,Support,Team Lead,4,4,3,192248,2,7,78,1,1,2,1,No,No Travel,2,83.1,1.09,4.12,8,75.5,52.43,Below Expectations
EMP0005,48,Male,High School,Marketing,CMO,8,8,3,137111,5,6,17,2,3,1,4,Yes,Rarely,0,96.1,2.43,3.05,12,97.3,57.97,Meets Expectations
EMP0006,34,Female,Master's,Finance,Senior Analyst,9,2,8,66730,5,6,49,2,1,4,4,No,Frequently,13,78.3,3.9,4.18,19,80.7,33.38,Needs Improvement
EMP0007,54,Non-binary,Bachelor's,Finance,CFO,12,6,1,169457,1,9,1,3,2,2,3,No,Rarely,12,92.2,4.68,1.05,14,45.5,34.56,Needs Improvement
EMP0008,27,Male,Bachelor's,Support,Team Lead,14,9,5,148252,2,6,12,2,4,2,4,No,Rarely,4,56.2,3.65,4.28,19,84.9,55.67,Meets Expectations
EMP0009,45,Female,Bachelor's,Sales,SDR,11,6,7,162022,3,9,67,4,3,1,3,No,Rarely,7,56.2,2.61,1.71,17,62.6,51.03,Below Expectations
EMP0010,40,Female,Master's,Marketing,Brand Manager,4,4,4,179470,5,4,46,3,2,1,4,No,Rarely,11,56.0,5.0,2.84,16,95.3,53.88,Below Expectations
